"Language","Country","Language_Fullname"
"fi","FIN","Finnish"
"en","USA","English"
"de","GER","German"
"da","DNK","Danish"
"he","ISR","Hebrew"
"ja","JPN","Japanese"
"es","ARG","Spanish; Castilian"
"zh","SGP","Chinese"
"pl","POL","Polish"
"ko","KOR","Korean"
"fr","FRA","French"
"sv","FIN","Swedish"
"it","ITA","Italian"
"ru","RUS","Russian"
"pt","BRA","Portuguese"
"el","GRC","Greek, Modern (1453-)"
"cs","CZE","Czech"
"bn","IND","Bengali"
"cn","IND",NA
"nl","BEL","Dutch; Flemish"
"hi","IND","Hindi"
"mn","MNG","Mongolian"
"sr","SRB","Serbian"
"ro","ROU","Romanian; Moldavian; Moldovan"
"fa","IRN","Persian"
"is","ISL","Icelandic"
"tr","TUR","Turkish"
"bg","BGR","Bulgarian"
"hu","HUN","Hungarian"
"ar","BHR","Arabic"
"bs","BIH","Bosnian"
"no","NOR","Norwegian"
"th","THA","Thai"
"hr","BIH","Croatian"
"lt","LTU","Lithuanian"
"ab","RUS","Abkhazian"
"nb","NOR","Bokmål, Norwegian; Norwegian Bokmål"
"xx","IND",NA
"ta","IND","Tamil"
"sk","SVK","Slovak"
"sl","SVN","Slovenian"
"ml","IND","Malayalam"
"vi","VNM","Vietnamese"
"id","IDN","Indonesian"
"te","IND","Telugu"
"mr","IND","Marathi"
"sh","IND",NA
"lv","LVA","Latvian"
"ca","ESP","Catalan; Valencian"
"kn","IND","Kannada"
"ms","BRN","Malay"
"uk","UKR","Ukrainian"
"mk","MKD","Macedonian"
"tl","PHL","Tagalog"
"ky","KGZ","Kirghiz; Kyrgyz"
"sq","ALB","Albanian"
"ka","GEO","Georgian"
"aa","ETH","Afar"
"et","EST","Estonian"
"bm","MLI","Bambara"
"sm","WSM","Samoan"
"ur","IND","Urdu"
"af","ZAF","Afrikaans"
"ps","AFG","Pushto; Pashto"
"kk","KAZ","Kazakh"
"gd","SCT","Gaelic; Scottish Gaelic"
"tk","TKM","Turkmen"
"cy","GBR","Welsh"
"tg","IRN","Tajik"
"pa","IND","Panjabi; Punjabi"
"ga","IRL","Irish"
"az","IRN","Azerbaijani"
"kl","GRL","Kalaallisut; Greenlandic"
"eu","ESP","Basque"
"bo","TIB","Tibetan"
"ku","TUR","Kurdish"
"hy","ARM","Armenian"
"gl","ESP","Galician"
"lo","LAO","Lao"
"ig","NGA","Igbo"
"si","LKA","Sinhala; Sinhalese"
"uz","UZB","Uzbek"
"wo","SEN","Wolof"
"fo","FRO","Faroese"
"so","SOM","Somali"
"co","FRA","Corsican"
"gn","PRY","Guarani"
"mt","MLT","Maltese"
"sn","ZWE","Shona"
"mi","NZL","Maori"
"am","ETH","Amharic"
"ne","NPL","Nepali"
"lb","LUX","Luxembourgish; Letzeburgesch"
